Date,CDI,BRLUS,IBOV,Selic,BIR,BRLUS_eom,Selic_day,IPCA-15,iDkA I3,iDkA P3
2010-01-01,,,,8.75,0.75,1.8748,,0.52,,
2010-01-02,,,,8.75,,,,,,
2010-01-03,,,,8.75,,,,,,
2010-01-04,0.03278,1.724,70045.0,8.75,,,0.032927,,1824.11277,1820.791588
2010-01-05,0.03278,1.7227,70239.0,8.75,,,0.032927,,1826.218049,1821.19476
2010-01-06,0.03278,1.7337,70729.0,8.75,,,0.032927,,1828.303799,1822.627014
2010-01-07,0.032817,1.7413,70451.0,8.75,,,0.032927,,1829.011878,1822.511522
2010-01-08,0.032817,1.739,70262.0,8.75,,,0.032927,,1830.502427,1824.062035
2010-01-09,,,,8.75,,,,,,
2010-01-10,,,,8.75,,,,,,
2010-01-11,0.032817,1.7323,70433.0,8.75,,,0.032927,,1830.819375,1823.685043
2010-01-12,0.032817,1.7439,70075.0,8.75,,,0.032927,,1831.487156,1823.931263
2010-01-13,0.032817,1.7442,70385.0,8.75,,,0.032927,,1833.802647,1825.338969
2010-01-14,0.032817,1.7648,69801.0,8.75,,,0.032927,,1834.272204,1823.120414
2010-01-15,0.03278,1.7711,68978.0,8.75,,,0.032927,,1836.301109,1827.849352
2010-01-16,,,,8.75,,,,,,
2010-01-17,,,,8.75,,,,,,
2010-01-18,0.03278,1.7721,69400.0,8.75,,,0.032927,,1837.835073,1830.038019
2010-01-19,0.03278,1.7747,69908.0,8.75,,,0.032927,,1838.355989,1830.326667
2010-01-20,0.032817,1.7854,68200.0,8.75,,,0.032927,,1839.612251,1831.040231
2010-01-21,0.032817,1.7903,66270.0,8.75,,,0.032927,,1838.096699,1827.728587
2010-01-22,0.032817,1.8187,66220.0,8.75,,,0.032927,,1839.867756,1829.167069
2010-01-23,,,,8.75,,,,,,
2010-01-24,,,,8.75,,,,,,
2010-01-25,0.032817,1.8194,,8.75,,,0.032927,,1841.281277,1830.05597
2010-01-26,0.032817,1.8367,65523.0,8.75,,,0.03289,,1842.114118,1835.159269
2010-01-27,0.032817,1.8513,65069.0,8.75,,,0.032927,,1842.429716,1837.791434
2010-01-28,0.032817,1.856,65587.0,8.75,,,0.032927,,1842.705075,1837.350867
2010-01-29,0.032854,1.8748,65401.0,8.75,,,0.032927,,1842.505288,1841.47606
2010-01-30,,,,8.75,,,,,,
2010-01-31,,,,8.75,,,,,,
2010-02-01,0.032854,1.8773,66571.0,8.75,0.78,1.811,0.032927,0.94,1843.866219,1847.266674
2010-02-02,0.032817,1.8363,67163.0,8.75,,,0.032927,,1845.481925,1852.504939
2010-02-03,0.03278,1.8337,67108.0,8.75,,,0.032927,,1848.318913,1853.833002
2010-02-04,0.032817,1.8715,63934.0,8.75,,,0.032927,,1850.528789,1858.179267
2010-02-05,0.032817,1.8753,62762.0,8.75,,,0.032927,,1852.967295,1860.09259
2010-02-06,,,,8.75,,,,,,
2010-02-07,,,,8.75,,,,,,
2010-02-08,0.032817,1.873,63153.0,8.75,,,0.032927,,1855.49132,1866.993235
2010-02-09,0.032817,1.855,64718.0,8.75,,,0.032927,,1856.773851,1869.10758
2010-02-10,0.032817,1.8483,65051.0,8.75,,,0.032927,,1858.992904,1868.158994
2010-02-11,0.032817,1.8516,66128.0,8.75,,,0.032927,,1861.09298,1863.561975
2010-02-12,0.032817,1.867,65854.0,8.75,,,0.032927,,1864.411303,1864.563588
2010-02-13,,,,8.75,,,,,,
2010-02-14,,,,8.75,,,,,,
2010-02-15,,,,8.75,,,,,,
2010-02-16,,,,8.75,,,,,,
2010-02-17,0.032817,1.8313,67284.0,8.75,,,0.032927,,1866.603285,1866.238273
2010-02-18,0.032854,1.8266,67836.0,8.75,,,0.032927,,1868.451745,1869.381042
2010-02-19,0.032854,1.8116,67597.0,8.75,,,0.032927,,1871.028216,1871.671589
2010-02-20,,,,8.75,,,,,,
2010-02-21,,,,8.75,,,,,,
2010-02-22,0.032854,1.8046,67184.0,8.75,,,0.032927,,1872.298461,1871.65639
2010-02-23,0.032854,1.8186,66108.0,8.75,,,0.032927,,1873.669717,1873.839088
2010-02-24,0.032817,1.8203,65794.0,8.75,,,0.032927,,1874.875482,1869.84882
2010-02-25,0.032817,1.8364,66121.0,8.75,,,0.032927,,1874.620105,1871.123776
2010-02-26,0.032817,1.811,66503.0,8.75,,,0.032927,,1873.207157,1867.273738
2010-02-27,,,,8.75,,,,,,
2010-02-28,,,,8.75,,,,,,
2010-03-01,0.03278,1.8,67227.0,8.75,0.52,1.781,0.032927,0.55,1872.079212,1872.596356
2010-03-02,0.032817,1.7851,67779.0,8.75,,,0.032927,,1872.708929,1875.705641
2010-03-03,0.032817,1.7846,67641.0,8.75,,,0.032927,,1872.855278,1874.93776
2010-03-04,0.03278,1.7888,67814.0,8.75,,,0.032927,,1873.271967,1876.696596
2010-03-05,0.03278,1.7824,68846.0,8.75,,,0.032927,,1872.256735,1879.319331
2010-03-06,,,,8.75,,,,,,
2010-03-07,,,,8.75,,,,,,
2010-03-08,0.032854,1.7826,68575.0,8.75,,,0.032927,,1868.369947,1882.09487
2010-03-09,0.032854,1.7899,69576.0,8.75,,,0.032927,,1870.624699,1883.875376
2010-03-10,0.032854,1.7716,69979.0,8.75,,,0.032927,,1873.038902,1884.245891
2010-03-11,0.032817,1.7693,69884.0,8.75,,,0.032927,,1875.186328,1881.628966
2010-03-12,0.03278,1.7637,69341.0,8.75,,,0.032927,,1877.883863,1883.14104
2010-03-13,,,,8.75,,,,,,
2010-03-14,,,,8.75,,,,,,
2010-03-15,0.032817,1.7644,69023.0,8.75,,,0.032927,,1880.895649,1885.267935
2010-03-16,0.03278,1.7666,69942.0,8.75,,,0.032927,,1883.15553,1886.558883
2010-03-17,0.032817,1.764,69723.0,8.75,,,0.032927,,1885.660503,1885.451114
2010-03-18,0.03278,1.7848,69697.0,8.75,,,0.032927,,1893.360343,1886.446873
2010-03-19,0.032817,1.7954,68828.0,8.75,,,0.032927,,1894.002582,1881.61719
2010-03-20,,,,8.75,,,,,,
2010-03-21,,,,8.75,,,,,,
2010-03-22,0.032817,1.803,69041.0,8.75,,,0.032927,,1893.333757,1878.49009
2010-03-23,0.032817,1.7813,69386.0,8.75,,,0.032927,,1896.138855,1882.173382
2010-03-24,0.032817,1.7904,68913.0,8.75,,,0.032927,,1895.110084,1882.418015
2010-03-25,0.03278,1.8008,68441.0,8.75,,,0.032927,,1894.890306,1886.092158
2010-03-26,0.032744,1.8231,68682.0,8.75,,,0.032927,,1896.288246,1886.530567
2010-03-27,,,,8.75,,,,,,
2010-03-28,,,,8.75,,,,,,
2010-03-29,0.032598,1.8064,69939.0,8.75,,,0.032927,,1898.765836,1889.807154
2010-03-30,0.032707,1.7952,69959.0,8.75,,,0.032927,,1902.626785,1892.207853
2010-03-31,0.03278,1.781,70371.0,8.75,,,0.032927,,1904.807436,1890.078058
2010-04-01,0.032671,1.7701,71136.0,8.75,0.57,1.7306,0.032927,0.48,1907.714722,1890.491589
2010-04-02,,,,8.75,,,,,,
2010-04-03,,,,8.75,,,,,,
2010-04-04,,,,8.75,,,,,,
2010-04-05,0.03278,1.7573,71289.0,8.75,,,0.032927,,1908.47723,1894.907673
2010-04-06,0.032817,1.7605,71095.0,8.75,,,0.032927,,1909.39627,1895.282573
2010-04-07,0.032854,1.7662,70792.0,8.75,,,0.032927,,1912.43275,1893.509002
2010-04-08,0.032817,1.7806,71784.0,8.75,,,0.032927,,1917.305854,1891.883163
2010-04-09,0.032817,1.773,71417.0,8.75,,,0.032927,,1915.077042,1888.283782
2010-04-10,,,,8.75,,,,,,
2010-04-11,,,,8.75,,,,,,
2010-04-12,0.032854,1.7608,70614.0,8.75,,,0.032927,,1916.564069,1891.382485
2010-04-13,0.032817,1.7584,70792.0,8.75,,,0.032927,,1912.782906,1888.261815
2010-04-14,0.03278,1.7446,71034.0,8.75,,,0.032927,,1905.970474,1884.53717
2010-04-15,0.032817,1.7483,70524.0,8.75,,,0.032927,,1902.477406,1877.990685
2010-04-16,0.032854,1.7558,69421.0,8.75,,,0.032927,,1904.968291,1879.660207
2010-04-17,,,,8.75,,,,,,
2010-04-18,,,,8.75,,,,,,
2010-04-19,0.032854,1.7588,69097.0,8.75,,,0.032927,,1900.161854,1877.572707
2010-04-20,0.032854,1.7497,69318.0,8.75,,,0.032927,,1896.269322,1871.279677
2010-04-21,,,,8.75,,,,,,
2010-04-22,0.032817,1.7626,69386.0,8.75,,,0.032927,,1898.666923,1871.175584
2010-04-23,0.032817,1.7624,69509.0,8.75,,,0.03289,,1905.111744,1877.751518
2010-04-24,,,,8.75,,,,,,
2010-04-25,,,,8.75,,,,,,
2010-04-26,0.032817,1.7446,68871.0,8.75,,,0.03289,,1901.680271,1875.960492
2010-04-27,0.032854,1.7592,66511.0,8.75,,,0.03289,,1895.667533,1878.495159
2010-04-28,0.032817,1.7558,66655.0,8.75,,,0.03289,,1895.796622,1880.147305
2010-04-29,0.035585,1.7321,67978.0,9.5,,,0.035621,,1901.46554,1887.847226
2010-04-30,0.035585,1.7306,67529.0,9.5,,,0.035657,,1902.400542,1884.591805
2010-05-01,,,,9.5,0.43,1.8167,,0.63,,
2010-05-02,,,,9.5,,,,,,
2010-05-03,0.035694,1.7315,67119.0,9.5,,,0.035657,,1903.640497,1880.281736
2010-05-04,0.035694,1.7557,64869.0,9.5,,,0.035657,,1902.173002,1872.598371
2010-05-05,0.035694,1.7862,64914.0,9.5,,,0.035657,,1899.139505,1871.011419
2010-05-06,0.035621,1.8353,63414.0,9.5,,,0.035657,,1897.218799,1869.118331
2010-05-07,0.035621,1.8343,62870.0,9.5,,,0.035657,,1896.494535,1872.035264
2010-05-08,,,,9.5,,,,,,
2010-05-09,,,,9.5,,,,,,
2010-05-10,0.035585,1.7833,65452.0,9.5,,,0.035657,,1896.140551,1878.741696
2010-05-11,0.035549,1.7843,64424.0,9.5,,,0.035657,,1901.052018,1884.969957
2010-05-12,0.035585,1.7723,65223.0,9.5,,,0.035657,,1905.151027,1889.519267
2010-05-13,0.035585,1.7737,64788.0,9.5,,,0.035657,,1910.477908,1890.526996
2010-05-14,0.035585,1.7967,63412.0,9.5,,,0.035657,,1913.774814,1888.057142
2010-05-15,,,,9.5,,,,,,
2010-05-16,,,,9.5,,,,,,
2010-05-17,0.035585,1.8045,62866.0,9.5,,,0.035657,,1917.177566,1891.593359
2010-05-18,0.035549,1.7921,60841.0,9.5,,,0.035657,,1916.342416,1894.559947
2010-05-19,0.035549,1.8366,59689.0,9.5,,,0.035657,,1914.296334,1896.606521
2010-05-20,0.035549,1.8677,58192.0,9.5,,,0.035657,,1916.7204,1901.341518
2010-05-21,0.035549,1.871,60259.0,9.5,,,0.035657,,1918.45276,1907.908011
2010-05-22,,,,9.5,,,,,,
2010-05-23,,,,9.5,,,,,,
2010-05-24,0.035585,1.8522,59915.0,9.5,,,0.035621,,1916.112045,1910.562357
