Data,BIR_exp,BRL_exp,Sel_exp,BIRm_exp,BIR_var,BRL_var,Sel_var,BIRm_var
2010-01-04,0.37,1.74,8.75,0.52,,,,
2010-01-05,0.37,1.74,8.75,0.52,,,,
2010-01-06,0.37,1.74,8.75,0.52,,,,
2010-01-07,0.37,1.74,8.75,0.52,,,,
2010-01-08,0.37,1.74,8.75,0.52,,,,
2010-01-11,0.37,1.74,8.75,0.52,,,,
2010-01-12,0.38,1.74,8.75,0.52,,,,
2010-01-13,0.53,1.75,8.75,0.53,,,,
2010-01-14,0.53,1.75,8.75,0.53,,,,
2010-01-15,0.53,1.75,8.75,0.53,,,,
2010-01-18,0.53,1.76,8.75,0.53,,,,
2010-01-19,0.59,1.76,8.75,0.59,,,,
2010-01-20,0.59,1.76,8.75,0.59,,,,
2010-01-21,0.59,1.76,8.75,0.59,,,,
2010-01-22,0.59,1.76,8.75,0.59,,,,
2010-01-25,0.59,1.76,8.75,0.59,,,,
2010-01-26,0.59,1.76,8.75,0.59,,,,
2010-01-27,0.59,1.76,8.75,0.59,,,,
2010-01-28,0.59,1.76,8.75,0.59,,,,
2010-01-29,0.63,1.86,8.75,0.63,,,,
2010-02-01,0.63,1.84,8.75,0.59,,,,
2010-02-02,0.63,1.84,8.75,0.59,,,,
2010-02-03,0.63,1.82,8.75,0.59,,,,
2010-02-04,0.59,1.82,8.75,0.59,,,,
2010-02-05,0.67,1.82,8.75,0.67,,,,
2010-02-08,0.67,1.82,8.75,0.67,,,,
2010-02-09,0.67,1.85,8.75,0.67,,,,
2010-02-10,0.67,1.85,8.75,0.67,,,,
2010-02-11,0.67,1.85,8.75,0.67,,,,
2010-02-12,0.71,1.86,8.75,0.71,,,,
2010-02-17,0.71,1.86,8.75,0.71,,,,
2010-02-18,0.71,1.86,8.75,0.71,,,,
2010-02-19,0.73,1.86,8.75,0.73,,,,
2010-02-22,0.77,1.85,8.75,0.77,,,,
2010-02-23,0.76,1.85,8.75,0.76,,,,
2010-02-24,0.76,1.85,8.75,0.76,,,,
2010-02-25,0.76,1.85,8.75,0.76,,,,
2010-02-26,0.76,1.81,8.75,0.76,,,,
2010-03-01,0.78,1.82,8.75,0.3,,,,
2010-03-02,0.78,1.82,8.75,0.3,,,,
2010-03-03,0.79,1.82,8.75,0.3,0.0004,0.0001,0.028900000000000006,0.0016
2010-03-04,0.79,1.82,8.75,0.3,0.0004,0.0001,0.028900000000000006,0.0016
2010-03-05,0.3,1.82,8.75,0.3,0.0016,0.0001,0.028900000000000006,0.0016
2010-03-08,0.3,1.81,8.75,0.3,0.0016,0.0001,0.028900000000000006,0.0016
2010-03-09,0.35,1.81,8.75,0.35,0.0016,0.0001,0.028900000000000006,0.0016
2010-03-10,0.35,1.81,8.75,0.35,0.004900000000000001,0.0001,0.0324,0.004900000000000001
2010-03-11,0.4,1.81,8.75,0.4,0.0064,0.0001,0.0324,0.0064
2010-03-12,0.4,1.81,8.75,0.4,0.0064,0.0009,0.0324,0.0064
2010-03-15,0.4,1.76,8.75,0.4,0.0064,0.0004,0.0324,0.0064
2010-03-16,0.4,1.76,8.75,0.4,0.0064,0.0004,0.0324,0.0064
2010-03-17,0.4,1.76,9.25,0.4,0.0081,0.0004,0.0324,0.0081
2010-03-18,0.46,1.76,9.25,0.46,0.0036,0.0004,0.0324,0.0036
2010-03-19,0.46,1.76,9.25,0.46,0.0016,0.0004,0.0081,0.0016
2010-03-22,0.47,1.76,9.25,0.47,0.0004,0.0004,0.0081,0.0004
2010-03-23,0.47,1.76,9.25,0.47,0.0004,0.0004,0.0081,0.0004
2010-03-24,0.47,1.76,9.25,0.47,0.0004,0.0004,0.0081,0.0004
2010-03-25,0.47,1.76,9.25,0.47,0.0004,0.0004,0.0081,0.0004
2010-03-26,0.48,1.76,9.25,0.48,0.0001,0.0004,0.0081,0.0001
2010-03-29,0.48,1.76,9.25,0.48,0.0001,0.0004,0.0081,0.0001
2010-03-30,0.48,1.76,9.25,0.48,0.0001,0.0004,0.0081,0.0001
2010-03-31,0.48,1.78,9.25,0.48,0.0001,0.0004,0.0081,0.0001
2010-04-01,0.48,1.78,9.25,0.42,0.0001,0.0001,0.0081,0.0036
2010-04-05,0.48,1.78,9.25,0.42,0.0001,0.0001,0.0081,0.0036
2010-04-06,0.48,1.78,9.25,0.42,0.0001,0.0001,0.0081,0.0036
2010-04-07,0.48,1.78,9.25,0.42,0.0004,0.0001,0.0081,0.010000000000000002
2010-04-08,0.44,1.79,9.25,0.44,0.0081,0.0001,0.0064,0.0081
2010-04-09,0.46,1.79,9.25,0.46,0.004900000000000001,0.0001,0.0064,0.004900000000000001
2010-04-12,0.46,1.79,9.25,0.46,0.004900000000000001,0.0001,0.0064,0.004900000000000001
2010-04-13,0.51,1.79,9.25,0.51,0.0036,0.0001,0.0064,0.0036
2010-04-14,0.51,1.78,9.25,0.51,0.0036,0.0001,0.010000000000000002,0.0036
2010-04-15,0.51,1.77,9.25,0.51,0.0036,0.0001,0.0121,0.0036
2010-04-16,0.51,1.77,9.25,0.51,0.0036,0.0001,0.0121,0.0036
2010-04-19,0.55,1.77,9.25,0.55,0.0036,0.0001,0.0121,0.0036
2010-04-20,0.55,1.77,9.25,0.55,0.0016,0.0001,0.0121,0.0016
2010-04-22,0.55,1.77,9.25,0.55,0.0016,0.0001,0.0121,0.0016
2010-04-23,0.52,1.77,9.25,0.52,0.0025000000000000005,0.0001,0.0144,0.0025000000000000005
2010-04-26,0.52,1.77,9.25,0.52,0.0025000000000000005,0.0001,0.0144,0.0025000000000000005
2010-04-27,0.52,1.77,9.25,0.52,0.0025000000000000005,0.0001,0.0144,0.0025000000000000005
2010-04-28,0.52,1.77,9.25,0.52,0.0025000000000000005,0.0001,0.0144,0.0025000000000000005
2010-04-29,0.52,1.77,10.0,0.52,0.0025000000000000005,0.0001,0.06760000000000001,0.0025000000000000005
2010-04-30,0.52,1.77,10.0,0.52,0.0025000000000000005,0.0004,0.06760000000000001,0.0025000000000000005
2010-05-03,0.55,1.77,10.0,0.45,0.0025000000000000005,0.0009,0.06760000000000001,0.0081
2010-05-04,0.55,1.77,10.25,0.45,0.0025000000000000005,0.0009,0.06760000000000001,0.0081
2010-05-05,0.55,1.77,10.25,0.45,0.0025000000000000005,0.0009,0.06760000000000001,0.0081
2010-05-06,0.55,1.77,10.25,0.45,0.0025000000000000005,0.0009,0.06760000000000001,0.0081
2010-05-07,0.5,1.8,10.25,0.5,0.0025000000000000005,0.0009,0.0081,0.0025000000000000005
2010-05-10,0.46,1.8,10.25,0.46,0.0004,0.0004,0.0081,0.0004
2010-05-11,0.46,1.8,10.25,0.46,0.0016,0.0004,0.0081,0.0016
2010-05-12,0.46,1.77,10.25,0.46,0.0016,0.0004,0.0081,0.0016
2010-05-13,0.46,1.77,10.25,0.46,0.0016,0.0004,0.0081,0.0016
2010-05-14,0.46,1.77,10.25,0.46,0.0016,0.0004,0.0081,0.0016
2010-05-17,0.46,1.78,10.25,0.46,0.0016,0.0004,0.0081,0.0016
2010-05-18,0.46,1.78,10.25,0.46,0.0009,0.0004,0.0081,0.0009
2010-05-19,0.45,1.78,10.25,0.45,0.0016,0.0004,0.0081,0.0016
2010-05-20,0.47,1.78,10.25,0.47,0.0009,0.0004,0.0081,0.0009
2010-05-21,0.47,1.78,10.25,0.47,0.0009,0.0004,0.0081,0.0009
2010-05-24,0.49,1.78,10.25,0.49,0.0009,0.0004,0.0081,0.0009
2010-05-25,0.48,1.78,10.25,0.48,0.0009,0.0004,0.0081,0.0009
2010-05-26,0.48,1.78,10.25,0.48,0.0009,0.0004,0.0081,0.0009
2010-05-27,0.45,1.78,10.25,0.45,0.0016,0.0004,0.0081,0.0016
2010-05-28,0.45,1.78,10.25,0.45,0.0016,0.0004,0.0081,0.0016
2010-05-31,0.45,1.8,10.25,0.45,0.0016,0.0004,0.0081,0.0016
2010-06-01,0.45,1.8,10.25,0.28,0.0009,0.0004,0.0081,0.0081
2010-06-02,0.44,1.8,10.25,0.28,0.0016,0.0004,0.0081,0.0081
2010-06-04,0.44,1.8,10.25,0.27,0.0016,0.0004,0.0081,0.0081
2010-06-07,0.44,1.8,10.25,0.27,0.0016,0.0004,0.0081,0.0081
2010-06-08,0.44,1.8,10.25,0.27,0.0016,0.0004,0.0081,0.0081
2010-06-09,0.29,1.8,10.25,0.29,0.0036,0.0001,0.0081,0.0036
